champ_id,item_ids
804,"['2512', '2523', '3031', '3032', '3033', '3036', '3046', '3072', '3085', '3097', '3139', '3153', '3156', '6672', '6673', '3026']"
875,"['2501', '3053', '3071', '3075', '3083', '3084', '3143', '3153', '3161', '3181', '3742', '3748', '3869', '3877', '4401', '6631']"
876,"['2503', '3041', '3089', '3102', '3116', '3143', '3157', '3165', '4629', '4633', '6653', '6665', '8010']"
887,"['2510', '3041', '3089', '3100', '3102', '3115', '3135', '3146', '3157', '3165', '4629', '4633', '4645', '8010']"
888,"['2065', '2524', '2525', '3107', '3109', '3110', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '3877', '4005', '6620']"
893,"['2503', '3041', '3089', '3102', '3118', '3135', '3137', '3157', '3165', '3871', '4633', '4645', '4646', '6653', '6655', '8010']"
895,"['2512', '2517', '3031', '3032', '3033', '3036', '3046', '3065', '3072', '3097', '3139', '3156', '3508', '6333', '6673', '6675', '6676', '6695', '3026']"
897,"['2502', '2504', '2524', '2525', '3050', '3065', '3075', '3110', '3119', '3143', '3877', '4401', '6662', '6664', '6665']"
901,"['2517', '2523', '3004', '3031', '3033', '3036', '3071', '3072', '3078', '3094', '3156', '3161', '3508', '3814', '6333', '6673', '6695', '6697']"
902,"['2065', '3107', '3165', '3190', '3222', '3504', '3869', '3870', '3871', '3876', '6616', '6617', '6620', '6621']"
904,"['2501', '2517', '3053', '3065', '3071', '3074', '3078', '3143', '3153', '3156', '3161', '3748', '6333', '6609', '6610', '6631']"
910,"['2503', '2522', '3003', '3041', '3089', '3102', '3135', '3137', '3157', '3165', '3871', '4628', '4645', '6653', '6655', '6657', '8010']"
950,"['2517', '2520', '3033', '3071', '3142', '3156', '3161', '3179', '3814', '6333', '6609', '6692', '6694', '6695', '6696', '6697', '6698', '6699', '6701']"
